id,name,city,province,location,altitude,difficulty,description,image_url
123e4567-e89b-12d3-a456-426614174000,黄山,黄山市,安徽省,"{"lat": 30.1317,"lng": 118.1667}",1864,3,中国十大名山之一，以奇松、怪石、云海、温泉著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174001,泰山,泰安市,山东省,"{"lat": 36.2536,"lng": 117.1004}",1545,3,五岳之首，天下第一山，历史文化底蕴深厚,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174002,华山,华阴市,陕西省,"{"lat": 34.4885,"lng": 110.0953}",2154,5,奇险天下第一山，以险峻著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174003,衡山,衡阳市,湖南省,"{"lat": 27.2568,"lng": 112.6943}",1300,2,五岳之一，南岳衡山，以秀美著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174004,恒山,大同市,山西省,"{"lat": 39.6743,"lng": 113.7366}",2016,3,五岳之一，北岳恒山，道教圣地,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174005,嵩山,登封市,河南省,"{"lat": 34.4659,"lng": 113.0206}",1512,2,五岳之一，中岳嵩山，少林寺所在地,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174006,峨眉山,乐山市,四川省,"{"lat": 29.5998,"lng": 103.4833}",3099,4,佛教名山，普贤菩萨道场，风景秀丽,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174007,武当山,十堰市,湖北省,"{"lat": 32.4042,"lng": 111.0038}",1612,3,道教圣地，武当武术发源地,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
123e4567-e89b-12d3-a456-426614174008,庐山,九江市,江西省,"{"lat": 29.4333,"lng": 115.9667}",1474,2,中国十大名山之一，以雄、奇、险、秀著称,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=400
123e4567-e89b-12d3-a456-426614174009,张家界,张家界市,湖南省,"{"lat": 29.1252,"lng": 110.4792}",1262,3,世界自然遗产，以奇特的砂岩峰林地貌著称,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=400
123e4567-e89b-12d3-a456-426614174010,玉龙雪山,丽江市,云南省,"{"lat": 27.1198,"lng": 100.2367}",5596,5,北半球最近赤道的雪山，纳西族神山,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
